domain,score,reason,status,priority,next_action,notes,response_time_ms,final_url,ssl_valid,ssl_days_until_expiry,domain_age_days,server_country,has_live_content,html_title,word_count,scrape_method,credits_used,error
docusend.io,90,Valid SSL | Age > 30 days | Live content detected | High word count,success,High,Manual Review,,4942.83,https://www.docusend.io/,True,66.0,41.0,IO,True,DocuSend | Document Campaign Automation,383,bs4,0,
asana.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,9544.22,https://asana.com,True,68.0,6314.0,COM,True,"Manage your team‚Äôs work, projects, & tasks online ‚Ä¢ Asana",1234,bs4,0,
cal.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,6533.4,https://cal.com,True,70.0,10583.0,COM,True,Cal.com | Scheduling Software for Online Bookings,3226,bs4,0,
crm-leads-export.app,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
n8n.io,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,2124.51,https://n8n.io,True,89.0,2714.0,IO,True,AI Workflow Automation Platform - n8n,1404,bs4,0,
mywebsite-parked.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
digitalocean.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,677.15,https://www.digitalocean.com/,True,81.0,9521.0,COM,True,AI-Native Cloud | DigitalOcean,1140,bs4,0,
geocities-archive.org,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
get-rich-fast-online.biz,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
crewai.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1091.2,https://crewai.com,True,79.0,3208.0,COM,True,The Leading Multi-Agent Platform,1107,bs4,0,
bing.com,40,Valid SSL | Age > 1 year | No live content | Low word count,error,Low,Discard,Fallback to Serper.dev (Pass 1 failed),229.48,https://www.bing.com/?toWww=1&redig=CFFDC6EE5D15438AB302F1C76AC414F7,True,175.0,11056.0,COM,False,Пошук – Microsoft Bing,5,serper,0,Pass2 Error: Serper HTTP Error: 400
super-deal-shop.xyz,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
notion.so,0,Critical failure: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,True,The AI workspace that works for you. | Notion,135,serper,2,Pass1 Exception: Failed to resolve domain via HTTP/HTTPS
salesforce.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1219.83,https://www.salesforce.com/,True,148.0,10018.0,COM,True,Salesforce: The #1 Agentic AI CRM | Salesforce,1307,bs4,0,
prospect-finder-tool.co,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
figma.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,3211.58,https://www.figma.com/,True,134.0,9889.0,COM,True,Figma: The Collaborative Interface Design Tool,826,bs4,0,
clickup.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,6437.4,https://clickup.com,True,182.0,9072.0,COM,True,"ClickUp™ | Maximize productivity • Software, AI, and humans converge",1219,bs4,0,
domain-for-sale-here.net,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
typeform.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,4107.16,https://www.typeform.com/,True,81.0,8721.0,COM,True,Typeform: People-Friendly Forms and Surveys,622,bs4,0,
substack.com,40,Valid SSL | Age > 1 year | No live content | Low word count,success,Low,Discard,Fallback to Serper.dev (Pass 1 failed),1586.96,https://substack.com,True,47.0,5853.0,COM,False,Substack - A new economic engine for culture,33,serper,2,
bygonecompany2018.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
github.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1277.23,https://github.com,True,87.0,6784.0,COM,True,GitHub · Change is constant. GitHub keeps you ahead. · GitHub,1217,bs4,0,
hugo-static-blog.dev,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
example.com,40,Valid SSL | Age > 1 year | No live content | Low word count,success,Low,Discard,Fallback to Serper.dev (Pass 1 failed),88.32,https://example.com,True,55.0,11224.0,COM,False,Example Domain,19,serper,2,
retool.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,798.86,https://retool.com,True,79.0,10431.0,COM,True,"Retool | Build internal software better, with AI.",898,bs4,0,
fly.io,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1773.58,https://fly.io,True,87.0,7966.0,IO,True,Build fast. Run any code fearlessly. · Fly,616,bs4,0,
intercom.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,4781.02,https://www.intercom.com/,True,218.0,11832.0,COM,True,Intercom | The only helpdesk designed for the AI Agent era,1391,bs4,0,
calendly.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,2656.12,https://calendly.com,True,61.0,4817.0,COM,True,Free Online Appointment Scheduling Software | Calendly,996,bs4,0,
techcrunch.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,3356.8,https://techcrunch.com,True,42.0,7635.0,COM,True,TechCrunch | Startup and Technology News,1997,bs4,0,
bubble.io,40,Valid SSL | Age > 1 year | No live content | Low word count,success,Low,Discard,Fallback to Serper.dev (Pass 1 failed),2251.8,https://bubble.io,True,52.0,6697.0,IO,False,Bubble: Build web &amp; mobile apps with the only no-code AI app builder,16,serper,2,
docsend.com,40,Valid SSL | Age > 1 year | No live content | Low word count,error,Low,Discard,Fallback to Serper.dev (Pass 1 failed),19.57,https://docsend.com,True,154.0,5040.0,COM,False,,0,serper,0,"All scraping methods failed: Pass2 Error: Serper Exception: ClientResponseError - 500, message='Internal Server Error', url='https://scrape.serper.dev'"
ycombinator.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,935.48,https://www.ycombinator.com/,True,246.0,7717.0,COM,True,Y Combinator,1604,bs4,0,
linode.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,2655.7,https://www.linode.com/,True,53.0,8502.0,COM,True,The World's Most Distributed Cloud Computing Platform | Akamai,1014,bs4,0,
old-startup-failed.co,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
abandoned-2017-blog.wordpress.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,212.03,https://wordpress.com/typo/?subdomain=abandoned-2017-blog,True,30.0,9561.0,COM,True,WordPress.com,158,bs4,0,
vercel.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1997.31,https://vercel.com,True,44.0,9711.0,COM,True,Vercel: Build and deploy the best web experiences with the AI Cloud,1101,bs4,0,
stripe.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,,1583.63,https://stripe.com,True,56.0,11195.0,COM,True,Stripe | Financial Infrastructure to Grow Your Revenue,1888,bs4,0,
godaddy.com,100,Valid SSL | Age > 1 year | Live content detected | High word count,success,High,Manual Review,Fallback to Serper.dev (Pass 1 failed),63.21,https://www.godaddy.com/,True,84.0,9928.0,COM,True,GoDaddy Official Site: Get a Domain &amp; Launch Your Website.,1337,serper,2,
this-domain-does-not-exist-nowhere-12345.com,0,Critical failure: All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400,error,Low,Retry,Fallback to Serper.dev (Pass 1 failed),,,False,,,UNKNOWN,False,,0,serper,0,All scraping methods failed: Pass1 Exception: Failed to resolve domain via HTTP/HTTPS | Pass2 Error: Serper HTTP Error: 400
